x_src,y_src,x_ref,y_ref,confidence,is_inlier
200.0000,32.0000,200.0095,32.0155,1.0000,1
496.0000,400.0000,496.0094,399.9885,1.0000,1
744.0000,88.0000,743.9994,87.9512,1.0000,1
32.0000,200.0000,32.0025,200.0246,1.0000,1
432.0000,224.0000,432.0306,224.0081,1.0000,1
864.0000,256.0000,863.9916,255.9562,1.0000,1
304.0000,512.0000,303.9907,511.9395,1.0000,1
616.0000,488.0000,615.9485,488.0758,1.0000,1
464.0000,80.0000,463.9619,79.9791,1.0000,1
136.0000,352.0000,136.0267,351.9786,1.0000,1
936.0000,136.0000,935.9886,135.9901,1.0000,1
752.0000,408.0000,751.9778,408.0132,1.0000,1
920.0000,496.0000,919.9908,496.0068,1.0000,1
296.0000,64.0000,295.9782,63.9996,1.0000,1
168.0000,208.0000,167.9658,207.9763,1.0000,1
656.0000,288.0000,656.0140,288.0573,1.0000,1
64.0000,448.0000,64.0112,447.9649,1.0000,1
840.0000,416.0000,840.0000,416.0069,1.0000,1
720.0000,520.0000,719.9768,519.9951,1.0000,1
400.0000,24.0000,399.9735,23.9903,1.0000,1
272.0000,312.0000,271.9489,311.9475,1.0000,1
360.0000,304.0000,360.0178,304.0247,1.0000,1
80.0000,88.0000,80.0009,88.0027,1.0000,1
544.0000,344.0000,543.9919,343.9203,1.0000,1
352.0000,224.0000,351.9934,223.9889,1.0000,1
648.0000,136.0000,647.9602,135.9749,1.0000,1
832.0000,88.0000,831.9941,88.0034,1.0000,1
432.0000,432.0000,432.0568,432.0601,1.0000,1
32.0000,520.0000,32.0256,520.0109,1.0000,1
128.0000,264.0000,127.9934,263.9729,1.0000,1
520.0000,464.0000,520.0391,464.0909,1.0000,1
776.0000,344.0000,776.0074,343.9965,1.0000,1
616.0000,408.0000,615.9750,408.0517,1.0000,1
296.0000,448.0000,295.9835,448.0160,1.0000,1
1000.0000,272.0000,1000.0177,271.9875,1.0000,1
840.0000,184.0000,840.0021,184.0393,1.0000,1
136.0000,152.0000,136.0007,152.0051,1.0000,1
232.0000,384.0000,231.9972,384.0226,1.0000,1
616.0000,72.0000,615.9790,72.0783,1.0000,1
984.0000,408.0000,984.0006,408.0013,1.0000,1
32.0000,40.0000,31.9925,39.9777,1.0000,1
848.0000,496.0000,847.9968,495.9838,1.0000,1
16.0000,376.0000,16.0126,376.0394,1.0000,1
896.0000,320.0000,895.9914,320.0775,1.0000,1
256.0000,256.0000,256.1019,256.0175,1.0000,1
472.0000,280.0000,471.9677,279.9930,1.0000,1
376.0000,496.0000,375.9803,495.9913,1.0000,1
1000.0000,96.0000,1000.0045,95.9970,1.0000,1
872.0000,40.0000,872.0048,39.9844,1.0000,1
80.0000,344.0000,80.0205,343.9872,1.0000,1
224.0000,200.0000,223.9956,200.0296,1.0000,1
496.0000,152.0000,496.0016,151.9970,1.0000,1
760.0000,464.0000,759.9813,464.0281,1.0000,1
992.0000,40.0000,992.0258,39.9935,1.0000,1
680.0000,200.0000,680.0417,199.9846,1.0000,1
528.0000,56.0000,527.9679,55.8539,1.0000,1
776.0000,288.0000,775.9768,288.0028,1.0000,1
928.0000,240.0000,927.9877,240.0361,1.0000,1
784.0000,216.0000,783.9938,215.9625,1.0000,1
440.0000,128.0000,439.9668,127.9965,1.0000,1
416.0000,176.0000,415.9767,176.0082,1.0000,1
904.0000,400.0000,903.9839,400.0001,1.0000,1
800.0000,144.0000,799.9706,143.9892,1.0000,1
736.0000,192.0000,735.9887,192.0071,1.0000,1
608.0000,24.0000,607.9738,23.9877,1.0000,1
24.0000,88.0000,23.9639,88.0102,1.0000,1
848.0000,312.0000,848.0000,312.0103,1.0000,1
152.0000,512.0000,152.0594,511.9623,1.0000,1
480.0000,520.0000,480.2202,519.9487,1.0000,1
496.0000,320.0000,495.9486,320.0504,1.0000,1
688.0000,48.0000,688.0127,48.0508,1.0000,1
520.0000,240.0000,519.9685,240.0094,1.0000,1
472.0000,360.0000,472.0497,360.0004,1.0000,1
248.0000,104.0000,248.0025,103.9915,1.0000,1
320.0000,328.0000,320.0609,328.0582,1.0000,1
400.0000,384.0000,400.0113,383.9779,1.0000,1
336.0000,112.0000,336.0406,112.0560,1.0000,1
856.0000,144.0000,856.0011,143.9698,1.0000,1
64.0000,296.0000,64.0403,296.0280,1.0000,1
24.0000,304.0000,23.9955,303.9649,1.0000,1
480.0000,472.0000,480.1216,472.0032,1.0000,1
712.0000,416.0000,711.9703,416.0147,1.0000,1
104.0000,456.0000,104.0262,455.9266,1.0000,1
264.0000,520.0000,263.9657,520.0029,1.0000,1
112.0000,24.0000,112.0010,24.0266,1.0000,1
328.0000,192.0000,328.0085,191.9736,1.0000,1
136.0000,104.0000,136.0157,104.0016,1.0000,1
648.0000,24.0000,648.0175,23.9769,1.0000,1
672.0000,504.0000,671.9899,504.0069,1.0000,1
608.0000,112.0000,608.0740,112.0202,1.0000,1
24.0000,480.0000,24.0142,480.0561,1.0000,1
232.0000,424.0000,231.9843,423.9799,1.0000,1
952.0000,40.0000,952.0295,39.9773,1.0000,1
440.0000,16.0000,439.9871,15.9616,1.0000,1
560.0000,304.0000,560.0222,304.0125,1.0000,1
728.0000,128.0000,728.0281,128.0056,1.0000,1
104.0000,504.0000,104.0335,504.0666,1.0000,1
80.0000,184.0000,79.9921,183.9880,1.0000,1
496.0000,40.0000,495.9721,39.9413,1.0000,1
536.0000,432.0000,535.9240,431.9508,1.0000,1
536.0000,96.0000,536.0012,96.0800,1.0000,1
976.0000,224.0000,976.0164,223.9863,1.0000,1
920.0000,80.0000,920.0057,79.9878,1.0000,1
584.0000,56.0000,584.0762,56.0240,1.0000,1
608.0000,248.0000,608.0288,247.9254,1.0000,1
584.0000,504.0000,584.0334,504.0527,1.0000,1
408.0000,280.0000,407.9651,280.0217,1.0000,1
184.0000,176.0000,183.9640,175.9495,1.0000,1
984.0000,336.0000,983.9824,335.9758,1.0000,1
144.0000,64.0000,143.9782,63.9860,1.0000,1
472.0000,192.0000,471.9417,191.9761,1.0000,1
376.0000,408.0000,375.9472,407.9872,1.0000,1
280.0000,488.0000,280.0352,488.0720,1.0000,1
232.0000,56.0000,232.0017,56.0026,1.0000,1
560.0000,392.0000,560.0181,391.9816,1.0000,1
568.0000,120.0000,568.0118,119.9931,1.0000,1
168.0000,408.0000,168.0499,408.0325,1.0000,1
680.0000,264.0000,680.0020,264.0088,1.0000,1
232.0000,320.0000,232.0116,320.0126,1.0000,1
984.0000,520.0000,983.9827,520.0222,1.0000,1
160.0000,272.0000,159.9910,271.9838,1.0000,1
328.0000,56.0000,328.0090,55.9785,1.0000,1
576.0000,16.0000,575.9767,15.9831,1.0000,1
48.0000,392.0000,48.0218,391.9916,1.0000,1
328.0000,424.0000,328.0059,424.0315,1.0000,1
656.0000,168.0000,655.9897,168.0564,1.0000,1
520.0000,288.0000,519.9396,288.0339,1.0000,1
144.0000,384.0000,144.0230,383.9751,1.0000,1
360.0000,160.0000,360.0177,160.0186,1.0000,1
56.0000,160.0000,56.0019,160.0098,1.0000,1
136.0000,296.0000,136.0120,296.0466,1.0000,1
568.0000,440.0000,567.9757,440.0145,1.0000,1
200.0000,328.0000,200.1014,327.9346,1.0000,1
360.0000,272.0000,360.0154,271.9756,1.0000,1
72.0000,416.0000,72.0901,415.9908,1.0000,1
112.0000,384.0000,112.0129,383.9856,1.0000,1
680.0000,232.0000,680.0285,232.0156,1.0000,1
400.0000,120.0000,400.0104,120.0197,1.0000,1
184.0000,464.0000,183.9534,463.9960,1.0000,1
280.0000,400.0000,280.0703,399.9930,1.0000,1
904.0000,432.0000,904.0067,432.0075,1.0000,1
280.0000,184.0000,279.9876,183.9465,1.0000,1
440.0000,336.0000,440.0273,335.9539,1.0000,1
952.0000,352.0000,951.9892,351.9734,1.0000,1
616.0000,312.0000,615.9577,311.9832,1.0000,1
224.0000,512.0000,224.0359,511.9496,1.0000,1
448.0000,496.0000,447.9883,495.9724,1.0000,1
288.0000,152.0000,288.0028,152.0199,1.0000,1
160.0000,128.0000,160.0299,128.0476,1.0000,1
48.0000,16.0000,48.0115,15.9881,1.0000,1
488.0000,96.0000,488.0466,95.9836,1.0000,1
496.0000,448.0000,496.0012,448.0050,1.0000,1
264.0000,136.0000,263.9907,135.9826,1.0000,1
144.0000,192.0000,143.9733,191.9665,1.0000,1
96.0000,64.0000,96.0241,63.9985,1.0000,1
920.0000,352.0000,919.9789,351.9819,1.0000,1
224.0000,240.0000,224.0206,240.0153,1.0000,1
432.0000,56.0000,432.0101,56.0604,1.0000,1
400.0000,424.0000,399.9841,423.9399,1.0000,1
440.0000,296.0000,439.9952,296.0952,1.0000,1
584.0000,376.0000,584.0332,375.9843,1.0000,1
632.0000,432.0000,631.9235,431.9174,1.0000,1
376.0000,352.0000,376.0414,352.0212,1.0000,1
640.0000,472.0000,639.9312,472.0154,1.0000,1
536.0000,368.0000,536.1181,367.9533,1.0000,1
240.0000,176.0000,240.0132,176.0047,1.0000,1
784.0000,320.0000,783.9896,319.9995,1.0000,1
784.0000,96.0000,784.0062,95.9711,1.0000,1
24.0000,408.0000,23.8870,407.9102,1.0000,1
712.0000,216.0000,712.0108,215.9798,1.0000,1
176.0000,344.0000,176.0259,343.8499,1.0000,1
264.0000,368.0000,264.0132,368.0379,1.0000,1
776.0000,40.0000,775.9709,39.9763,1.0000,1
792.0000,168.0000,791.9474,167.9846,1.0000,1
184.0000,248.0000,184.0246,248.0042,1.0000,1
352.0000,504.0000,351.9916,504.0059,1.0000,1
424.0000,80.0000,423.9446,80.0563,1.0000,1
896.0000,192.0000,895.9985,191.9899,1.0000,1
912.0000,520.0000,911.9950,520.0187,1.0000,1
784.0000,408.0000,783.9987,408.0063,1.0000,1
176.0000,304.0000,176.0138,303.9998,1.0000,1
72.0000,24.0000,72.0274,24.0152,1.0000,1
304.0000,104.0000,304.0052,104.0103,1.0000,1
712.0000,96.0000,711.9796,96.0146,1.0000,1
840.0000,520.0000,840.0380,519.9675,1.0000,1
408.0000,352.0000,407.9881,351.9864,1.0000,1
928.0000,312.0000,928.0052,312.0084,1.0000,1
112.0000,320.0000,112.0312,320.0162,1.0000,1
816.0000,200.0000,816.0002,200.0515,1.0000,1
616.0000,368.0000,616.0183,368.0222,1.0000,1
472.0000,48.0000,472.0170,48.0797,1.0000,1
552.0000,464.0000,551.9751,464.0010,1.0000,1
552.0000,64.0000,551.9993,63.9636,1.0000,1
680.0000,360.0000,680.0159,360.0223,1.0000,1
912.0000,464.0000,912.0221,464.0023,1.0000,1
200.0000,352.0000,200.0106,352.0786,1.0000,1
840.0000,48.0000,840.0690,48.0144,1.0000,1
256.0000,280.0000,255.9821,280.0225,1.0000,1
808.0000,80.0000,807.9749,79.9846,1.0000,1
440.0000,160.0000,439.9591,159.9926,1.0000,1
120.0000,224.0000,120.0215,224.0407,1.0000,1
904.0000,296.0000,904.0143,295.9949,1.0000,1
608.0000,136.0000,607.9817,136.0084,1.0000,1
520.0000,152.0000,519.9513,152.0051,1.0000,1
456.0000,240.0000,456.0125,239.9500,1.0000,1
184.0000,80.0000,184.0074,79.9893,1.0000,1
440.0000,368.0000,439.9713,368.0047,1.0000,1
944.0000,496.0000,943.9763,496.0070,1.0000,1
736.0000,224.0000,736.0106,223.9539,1.0000,1
600.0000,168.0000,599.9812,168.0276,1.0000,1
256.0000,40.0000,256.0043,39.9390,1.0000,1
64.0000,136.0000,64.0290,135.9992,1.0000,1
608.0000,208.0000,608.0267,207.9837,1.0000,1
24.0000,120.0000,23.9640,119.9199,1.0000,1
808.0000,424.0000,807.9982,423.9966,1.0000,1
808.0000,400.0000,808.0048,400.0005,1.0000,1
